"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"249",7491.97271235919,-3.03225258375401,0.526759143017085,-5.75643085450092,8.59109478009784e-09,0.000107350599801338
"105376834",15.4299117756582,-1.54791878256928,0.536588605606558,-2.88474031389377,0.00391736649633263,0.0482438218422024
"3339",16.2506186959236,-1.95354936635894,0.579430367005826,-3.3714997998013,0.000747600930537011,0.0265721533182903
"712",125.585040099369,-1.82787607932629,0.560316249300609,-3.2622221497375,0.0011054247890636,0.030157978442927
"105376860",71.0330103204854,-1.95724029266964,0.56870323549647,-3.44158459193747,0.000578317616340538,0.023974271923714
"11313",563.300368606477,-1.78121198450911,0.535307759095426,-3.32745407523896,0.000876434339171389,0.0275872155676316
"57190",510.877570369428,-1.55603336289402,0.427439970786137,-3.64035529955751,0.000272262082458351,0.0163603693601374
"83442",9004.19741651013,-1.36309398150827,0.428076850849194,-3.18422726854826,0.00145141009767325,0.0328700970280205
"6195",2687.92226672013,-1.44496645750457,0.485363385046093,-2.9770817124315,0.00291006438701035,0.042127941453075
"23038",1777.7998242436,-1.9458909657557,0.500478020934304,-3.88806477879501,0.000101046661589887,0.0101894695655446
"2268",6910.62254541198,-1.36028813856147,0.475575462901594,-2.86029924727832,0.00423241425212229,0.0499452263807114
"55113",1089.74362445346,-2.09518509248037,0.531251111748066,-3.94386956779483,8.01772772939942e-05,0.00916189690783256
"113451",16.9033829142471,-1.10712520518657,0.347673921502524,-3.18437805286622,0.00145065418740573,0.0328700970280205
"1912",4077.57113494397,-1.40170039186272,0.465678401770055,-3.01001804364304,0.00261232170287782,0.0405549853672825
"100500853",131.053904484131,-1.82598417881139,0.503508667587468,-3.62651985230062,0.000287266743289266,0.0167145879195494
"58512",23.7583510944109,-1.54511350109613,0.512371121068741,-3.01561395160839,0.00256459552941631,0.0400369835113022
"55194",321.334625440767,-1.45376001881101,0.490949046128354,-2.96112199478832,0.00306520499630003,0.0429467566366017
"1441",25790.9868809856,-2.05215009879574,0.413974154710291,-4.95719376547041,7.15186422978767e-07,0.000766954917134383
"2275",423.343690333109,-1.4486270908713,0.486656156697549,-2.9766952928361,0.00291373441735927,0.0421373148468938
"533",4012.14254072626,-1.40639327439523,0.477200779317843,-2.94717304612467,0.00320693685079004,0.0440360283094884
"10158",1410.20590927965,-2.61629540778207,0.666093939938416,-3.92781746073828,8.57202310874919e-05,0.00940965150858838
"6886",300.378980288431,-1.70240826387095,0.566097141994947,-3.00727231702955,0.0026360350791685,0.0406661563868801
"127435",12.870945667718,-1.93896594986149,0.607274979631933,-3.19289615889771,0.00140853588577302,0.0323471593443225
"105378819",56.0684397656494,-1.26532219532445,0.354235433779415,-3.57198087674192,0.000354291287407893,0.0186454107855384
"271",3035.71366934584,-1.35152986769027,0.419617514189038,-3.22086143211221,0.00127805925750417,0.0315352639094968
"3749",32.2444484109281,-1.29367678529348,0.366988927319273,-3.52511121995788,0.000423305025949936,0.0206338998838044
"389",617.593390159577,-1.38954373499872,0.474456833906337,-2.92870422701726,0.00340378143877768,0.0451852614529405
"51107",1751.49196934854,-1.29404946227701,0.431742949991739,-2.99726831046521,0.00272410838544663,0.0411560170489183
"100289061",36.7598283224497,-1.35274147108637,0.42344755524059,-3.1945903438214,0.00140029449755329,0.0323360114618702
"54507",342.266442497929,-1.38254489585517,0.412305403895022,-3.3532058585562,0.000798812694741577,0.0269902176893795
"57592",790.250117621828,-1.08730413520454,0.364252067373471,-2.98503215930885,0.00283548511539072,0.0417574283639452
"6282",8673.32576204236,-1.75539720283172,0.530065229577966,-3.31166261222105,0.00092743322109163,0.0285416038305484
"6280",58955.5941237442,-1.45928737870869,0.450501991664939,-3.23924734120606,0.0011984559471647,0.0308224183050297
"6283",1666.83666618799,-1.57741720856816,0.422876673736735,-3.73020624341695,0.000191323093530699,0.0141874215261248
"6279",22300.0990791437,-1.36278115208898,0.472873744080487,-2.8819133418772,0.00395268424891404,0.0484647063448642
"6277",7706.11219099744,-1.58754508614574,0.469529201961984,-3.3811423858452,0.000721851268849036,0.0262750092402726
"101928034",980.55177499493,-1.28538200741666,0.411990173319887,-3.11993365535597,0.00180891777314653,0.0347145004329961
"101928059",44.1565454715196,-1.04117602140949,0.347302761295146,-2.99789157312422,0.00271854373563194,0.0411500740699726
"89872",29.2112594432756,-1.91197615351692,0.614040836559431,-3.11376058346548,0.00184719313401479,0.0350840864867849
"51043",2227.93632268093,-1.62603785989353,0.44247674038555,-3.67485499571501,0.000237984537072348,0.0152891356282286
"8751",632.570745806085,-1.36926987163671,0.457746847025762,-2.99132562142945,0.00277769129782054,0.0412653715501749
"10712",144.828768037824,-1.43636284129431,0.474956383210057,-3.0241994677205,0.00249292015701653,0.0396732875673144
"105371729",151.247370181912,-1.5298194258798,0.400835979299237,-3.81657212647006,0.000135318531401011,0.0116449113966759
"64218",1234.39533019224,-2.13781353932229,0.487155444258618,-4.38836015181098,1.14208536474887e-05,0.00361603128923335
"112770",248.095229830294,-1.54019298124986,0.528629554855064,-2.91355821312741,0.00357335206489209,0.046126019570982
"128240",335.997816262105,-1.41069870282302,0.45653929530496,-3.08998309089844,0.00200167890691164,0.0364968082435661
"8407",23022.5830493706,-1.49739139714498,0.404307674569959,-3.70359380077976,0.00021256653142533,0.0146940824559326
"55600",56.9332015577431,-2.53349573376774,0.755738147518811,-3.35234597073807,0.000801298154690819,0.0269902176893795
"100131187",256.511561748617,-1.28238980095392,0.40385571523419,-3.17536623249291,0.00149647500071595,0.0330623739857068
"2153",237.226383691082,-1.41327705328951,0.423090672308406,-3.34036447927012,0.000836685042850526,0.0274613139119458
"5768",1078.70503339579,-1.44571210796554,0.43243848450259,-3.3431624607335,0.000828293923306862,0.0274432650617158
"777",25.1912039045736,-1.43438650693921,0.408277927634011,-3.51325998750787,0.000442644122201293,0.0213526010643883
"252839",201.832439102937,-1.29995059607167,0.441444354480834,-2.94476661186548,0.00323198356760884,0.044173610701995
"1465",426.259134108183,-1.3297494906973,0.457307384734706,-2.9077804887597,0.00364003747441049,0.046556687101753
"1116",669.511525913614,-1.45329077044179,0.380659815538485,-3.8178202981209,0.000134635933182978,0.0116449113966759
"81788",1026.35290682388,-1.45854889029194,0.322500830711576,-4.52262056836799,6.1078673697673e-06,0.00266093059381019
"1378",1111.39590886816,-1.63573177611925,0.391804463853598,-4.17486763685893,2.98159360299759e-05,0.00543194127537227
"2987",22502.4413150479,-1.8452290474028,0.595668412075565,-3.09774533951402,0.00194998915097339,0.0360929534491322
"84033",212.364737156042,-1.56953465630051,0.447925338525718,-3.50400953307622,0.000458308950922108,0.0217322621932147
"149603",1231.4892037269,-1.53608884471822,0.516337791113696,-2.97496885014945,0.00293018300612322,0.0422555692493705
"25893",891.160567960922,-1.96896894933823,0.531280751761696,-3.7060799639536,0.000210491866478299,0.0146940824559326
"343171",163.12432989261,-2.37040326922583,0.560665883793226,-4.22783575342358,2.35949926027125e-05,0.00483732046874139
"100874055",50.5644456958056,-2.2455181655125,0.693412493995771,-3.23835838690007,0.00120219687175892,0.0308224183050297
"64342",339.240003995005,-1.38591728252216,0.473661136150089,-2.92596790563582,0.0034338636053056,0.0452233879580282
"388931",109.814247565865,-1.73949264264327,0.585124338732763,-2.9728598308021,0.00295039154441942,0.0424035139389187
"92749",10.2989202223305,-2.07657737900859,0.650040691757615,-3.19453444274977,0.00140056571829537,0.0323360114618702
"60509",589.622651625515,-1.23760796012897,0.424667459047757,-2.91429902094239,0.00356488266158214,0.0461157475929766
"9784",1543.26948298617,-1.4987792152871,0.474220537321281,-3.16051098029879,0.00157492668800785,0.0333642564448078
"151056",173.890762556654,-1.35009544010878,0.4194568902811,-3.21867508054049,0.00128784323585184,0.0316569609819947
"113419",365.983084514819,-1.34813998731175,0.415302107294669,-3.24616697972881,0.00116970209987994,0.0306519116060644
"8291",2542.19629133235,-2.06826885314358,0.471817183563438,-4.38362341431232,1.16721474797719e-05,0.00361603128923335
"26056",216.663425056137,-1.67144828204743,0.401599103608943,-4.16198210361298,3.15497082220437e-05,0.00556752509270267
"100532735",329.137950771753,-1.19493822369719,0.400723241566183,-2.98195387676269,0.00286415145441654,0.0418959143117917
"23559",243.316021045263,-1.36281329999252,0.401518943505108,-3.39414446575217,0.000688433656897928,0.0257996064806828
"10791",542.453894831012,-1.56592603096551,0.527179306087819,-2.97038600127572,0.00297425771289208,0.0424908247549806
"1329",1250.86330701668,-1.23608496486978,0.422760251474585,-2.92384385844772,0.00345738126127514,0.0453144042986665
"84771",32.4841653051314,-2.30049866662123,0.761773481139563,-3.01992485112482,0.00252837410745566,0.0399081181423106
"55679",31.9224170451206,-2.50026064781996,0.77240577246379,-3.23697820103639,0.00120802639291204,0.0308224183050297
"9394",146.486305608948,-1.23002947291666,0.389321961618827,-3.15941455704712,0.00158086446796668,0.0333642564448078
"102465256",86.6262756144441,-1.39261308165664,0.451580115653913,-3.08386714423875,0.00204328819630346,0.0367080937431271
"6556",3524.76879633884,-1.62314645860824,0.494561743417922,-3.28198951942917,0.00103077436228603,0.0296289183188237
"58190",2433.25534247679,-1.8498099585906,0.571031045001344,-3.23942099958199,0.00119772640948566,0.0308224183050297
"1593",450.850578583631,-1.5392890857863,0.518307314244328,-2.96983863334155,0.0029795621643871,0.0424908247549806
"27013",2012.08736413648,-1.5836712328955,0.493426110142697,-3.20954080123062,0.00132947176498431,0.0318160298190431
"79137",1578.20060850383,-1.44132428838814,0.408605082418853,-3.52742623722596,0.000419620661455614,0.0205260759345709
"79586",64.3025035326598,-1.9470211755858,0.592560889259729,-3.28577402065494,0.00101702566431116,0.029566531801214
"81618",501.587235611836,-1.66888620819272,0.479359274515399,-3.48149352044948,0.000498625845254028,0.0226169395465051
"57140",2694.65621518257,-1.72471488237578,0.532095592736157,-3.24136284141522,0.00118959664104572,0.0308224183050297
"100526693",589.065770961879,-1.03473552400556,0.360848744074619,-2.86750485070716,0.00413722462178083,0.0495147503262778
"51738",34.5558549356026,-1.61207113351346,0.516431421727725,-3.12155896347335,0.00179896218981274,0.0347145004329961
"6854",10.5913947158559,-2.67913141735967,0.620492880917458,-4.31774722926444,1.57629801466649e-05,0.00430885698479716
"2199",27.0514718483723,-2.95693749742758,0.662232679651985,-4.46510356296749,8.00300306757438e-06,0.00318771045043013
"112616",519.457595351366,-1.26316540613489,0.429795878696744,-2.93898910795781,0.00329284645829779,0.044655226143122
"643853",60.4309740704525,-0.907366356847368,0.304382256501147,-2.98100936394086,0.00287300007761803,0.0418959143117917
"30",792.228062629188,-1.28828554690129,0.43855999685328,-2.93753547096154,0.00330832323536721,0.0447345627781321
"102724231",132.653662428533,-2.02966905504011,0.689120466043237,-2.94530369514923,0.0032263780809132,0.0441402716643876
"23218",3211.4358399404,-1.38004501103571,0.37206010400769,-3.70919912178271,0.00020791586948137,0.0146940824559326
"25930",282.420640487981,-1.15142958365342,0.39125781998527,-2.94289219240849,0.00325161630136339,0.0442251540071288
"22937",698.640137957671,-1.45225091473903,0.485186879801893,-2.99317845390214,0.00276088263378137,0.0412653715501749
"84126",241.893504568417,-1.48847946229266,0.486806753493148,-3.05763930268402,0.00223087924838257,0.0381361074517551
"111822955",238.42946767555,-1.49038972391068,0.489576724024029,-3.04424138398689,0.00233267892725463,0.0385306598635745
"11277",215.512113874755,-1.80191939384949,0.52775501595352,-3.41431031326888,0.000639437016557677,0.0251818967452841
